epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.046,0.98246,2.77202,1.35872,0.48029,0.22689,0.12527,0.09999,1.00286,1.95964,1.3672,0.000133238,0.000133238,0.000133238
2,380.308,0.88212,1.85654,1.28095,0.49387,0.21551,0.15522,0.11817,0.96309,1.86765,1.36473,0.000263273,0.000263273,0.000263273
3,515.22,0.85042,1.66621,1.2544,0.39335,0.20487,0.16643,0.12858,0.95682,1.80706,1.35682,0.000390007,0.000390007,0.000390007
4,644.359,0.8443,1.55628,1.25709,0.32448,0.27892,0.17664,0.13595,0.9344,1.73367,1.34779,0.00038515,0.00038515,0.00038515
5,766.409,0.82175,1.47802,1.24343,0.34172,0.26876,0.19032,0.14664,0.91738,1.69894,1.31818,0.0003802,0.0003802,0.0003802
6,890.189,0.79996,1.40956,1.2245,0.23546,0.31998,0.20503,0.15375,0.9085,1.72775,1.31577,0.00037525,0.00037525,0.00037525
7,1014.44,0.79972,1.37666,1.22191,0.43704,0.25405,0.21993,0.17287,0.90059,1.64221,1.31995,0.0003703,0.0003703,0.0003703
8,1172.43,0.77379,1.33274,1.20415,0.40736,0.28114,0.22168,0.17134,0.893,1.65888,1.30088,0.00036535,0.00036535,0.00036535
9,1300.29,0.77635,1.31267,1.20762,0.26748,0.32481,0.22066,0.16802,0.902,1.67205,1.31146,0.0003604,0.0003604,0.0003604
10,1420.8,0.77129,1.28106,1.20345,0.25232,0.29676,0.22214,0.17117,0.89626,1.63305,1.30602,0.00035545,0.00035545,0.00035545
11,1550.64,0.76547,1.26861,1.19975,0.26797,0.32152,0.239,0.18713,0.87561,1.58226,1.29104,0.0003505,0.0003505,0.0003505
12,1675.14,0.75258,1.25297,1.19061,0.26508,0.3336,0.23783,0.18378,0.86353,1.62674,1.27022,0.00034555,0.00034555,0.00034555
13,1802.11,0.75395,1.24788,1.18691,0.29846,0.31083,0.23997,0.19032,0.87189,1.58867,1.29229,0.0003406,0.0003406,0.0003406
14,1925.1,0.74074,1.22141,1.18779,0.26074,0.33081,0.24103,0.18472,0.88685,1.60878,1.29723,0.00033565,0.00033565,0.00033565
15,2051.53,0.74537,1.19772,1.18505,0.30338,0.30648,0.24785,0.19381,0.86749,1.5867,1.28172,0.0003307,0.0003307,0.0003307
16,2180.03,0.74472,1.21626,1.18834,0.31632,0.32731,0.25778,0.2042,0.85578,1.57493,1.26542,0.00032575,0.00032575,0.00032575
17,2306.86,0.73792,1.20514,1.17634,0.35829,0.28913,0.25243,0.19903,0.85289,1.54271,1.2651,0.0003208,0.0003208,0.0003208
18,2436.83,0.73351,1.18744,1.17951,0.30051,0.27559,0.24054,0.18536,0.86136,1.60009,1.27615,0.00031585,0.00031585,0.00031585
19,2560.48,0.72176,1.18046,1.16832,0.29259,0.34159,0.25965,0.20138,0.87096,1.53594,1.28073,0.0003109,0.0003109,0.0003109
20,2684.23,0.72335,1.17075,1.17043,0.32696,0.33072,0.26465,0.20504,0.85746,1.52859,1.27053,0.00030595,0.00030595,0.00030595
21,2808.6,0.71897,1.15465,1.16789,0.31781,0.3342,0.26523,0.21057,0.85154,1.54063,1.26276,0.000301,0.000301,0.000301
22,2938.11,0.72156,1.16762,1.17172,0.32703,0.32792,0.26207,0.21012,0.87215,1.56172,1.28655,0.00029605,0.00029605,0.00029605
23,3064.64,0.7235,1.14092,1.17085,0.32306,0.34118,0.27614,0.21724,0.84712,1.53446,1.26386,0.0002911,0.0002911,0.0002911
24,3190.14,0.71964,1.15024,1.16899,0.32905,0.32853,0.26729,0.21095,0.85012,1.52901,1.26469,0.00028615,0.00028615,0.00028615
25,3311.42,0.71074,1.1434,1.16424,0.28985,0.33467,0.26022,0.206,0.83463,1.51352,1.25238,0.0002812,0.0002812,0.0002812
26,3434.78,0.71327,1.12908,1.16624,0.31534,0.33798,0.2716,0.21119,0.84989,1.5195,1.2594,0.00027625,0.00027625,0.00027625
27,3580.25,0.70615,1.13096,1.16278,0.30632,0.34854,0.26356,0.20458,0.83638,1.53362,1.25545,0.0002713,0.0002713,0.0002713
28,3706.39,0.70704,1.12514,1.15794,0.32235,0.33558,0.27198,0.21004,0.84639,1.503,1.25844,0.00026635,0.00026635,0.00026635
29,3825.19,0.70222,1.12369,1.16374,0.31323,0.34743,0.27423,0.21525,0.84907,1.50194,1.26362,0.0002614,0.0002614,0.0002614
30,3947.37,0.70308,1.10744,1.15826,0.33105,0.29186,0.26154,0.20638,0.85881,1.58041,1.26372,0.00025645,0.00025645,0.00025645
31,4066.73,0.70546,1.09997,1.15438,0.30891,0.33322,0.27082,0.21414,0.85471,1.5373,1.27143,0.0002515,0.0002515,0.0002515
32,4189.65,0.69945,1.10402,1.15619,0.32631,0.31608,0.26512,0.21129,0.85361,1.54073,1.26658,0.00024655,0.00024655,0.00024655
33,4311.78,0.69518,1.09096,1.1482,0.32745,0.3649,0.27334,0.21442,0.8419,1.54993,1.25546,0.0002416,0.0002416,0.0002416
34,4435.72,0.68498,1.0943,1.14579,0.34299,0.33517,0.27647,0.21556,0.83584,1.52713,1.24862,0.00023665,0.00023665,0.00023665
35,4559.25,0.68866,1.07033,1.14435,0.32616,0.33581,0.2759,0.21702,0.84167,1.51301,1.25277,0.0002317,0.0002317,0.0002317
36,4683.97,0.68671,1.07519,1.14124,0.33172,0.34565,0.27801,0.21891,0.84353,1.52004,1.25738,0.00022675,0.00022675,0.00022675
37,4807.68,0.68174,1.06917,1.14152,0.33307,0.34627,0.27919,0.2191,0.82954,1.5039,1.24739,0.0002218,0.0002218,0.0002218
38,4932.53,0.67937,1.05533,1.13869,0.31092,0.34231,0.27913,0.21616,0.84698,1.50314,1.24959,0.00021685,0.00021685,0.00021685
39,5057.12,0.68714,1.06711,1.14515,0.35146,0.32387,0.28354,0.22239,0.8178,1.50021,1.24222,0.0002119,0.0002119,0.0002119
40,5181.62,0.67867,1.06481,1.14086,0.34897,0.33961,0.28162,0.22162,0.83787,1.48988,1.24895,0.00020695,0.00020695,0.00020695
41,5306.93,0.67946,1.04793,1.13603,0.32393,0.3414,0.28152,0.22463,0.85093,1.50094,1.26251,0.000202,0.000202,0.000202
42,5430.34,0.67218,1.0421,1.13981,0.30133,0.37042,0.28257,0.2255,0.82273,1.47978,1.24099,0.00019705,0.00019705,0.00019705
43,5554.99,0.67084,1.04327,1.13529,0.33931,0.34732,0.28633,0.22689,0.82017,1.47303,1.23497,0.0001921,0.0001921,0.0001921
44,5678.63,0.66827,1.03134,1.13261,0.33385,0.34248,0.28792,0.22868,0.83019,1.50125,1.24965,0.00018715,0.00018715,0.00018715
45,5802.32,0.66623,1.02294,1.13346,0.34195,0.33571,0.29018,0.22771,0.83577,1.50777,1.25065,0.0001822,0.0001822,0.0001822
46,5925.6,0.67511,1.03603,1.13837,0.35219,0.34075,0.28171,0.22373,0.83491,1.51417,1.25278,0.00017725,0.00017725,0.00017725
47,6053.21,0.67021,1.0314,1.13959,0.33764,0.33809,0.2961,0.23102,0.83401,1.48048,1.25114,0.0001723,0.0001723,0.0001723
48,6176.93,0.66555,1.01554,1.13235,0.36204,0.327,0.30019,0.23534,0.82525,1.49649,1.23532,0.00016735,0.00016735,0.00016735
49,6300.79,0.65773,1.00349,1.12449,0.36777,0.32787,0.29608,0.23764,0.8359,1.49914,1.24627,0.0001624,0.0001624,0.0001624
50,6424.44,0.66384,1.01757,1.12713,0.34081,0.34999,0.30198,0.2377,0.82159,1.46292,1.23755,0.00015745,0.00015745,0.00015745
51,6549.1,0.65332,0.9962,1.12272,0.36078,0.30994,0.28417,0.2269,0.82345,1.51101,1.23567,0.0001525,0.0001525,0.0001525
52,6672.5,0.65991,0.99423,1.12771,0.35449,0.33552,0.29173,0.23477,0.82574,1.48131,1.23726,0.00014755,0.00014755,0.00014755
53,6801.42,0.65435,0.99336,1.11764,0.38628,0.32958,0.31026,0.24624,0.83138,1.46998,1.24574,0.0001426,0.0001426,0.0001426
54,6924.7,0.64978,0.98496,1.12,0.34803,0.34448,0.30513,0.24159,0.83255,1.48331,1.24693,0.00013765,0.00013765,0.00013765
55,7050.4,0.65112,0.98167,1.12072,0.33673,0.34064,0.29744,0.2402,0.82891,1.49415,1.24217,0.0001327,0.0001327,0.0001327
56,7173.5,0.64942,0.98184,1.11777,0.35599,0.35345,0.30183,0.24127,0.83663,1.4939,1.2533,0.00012775,0.00012775,0.00012775
57,7299.21,0.64113,0.97273,1.11132,0.35459,0.33152,0.29861,0.23806,0.83041,1.49045,1.2478,0.0001228,0.0001228,0.0001228
58,7422.95,0.64371,0.96609,1.11762,0.33978,0.36376,0.30358,0.24145,0.82314,1.49642,1.24561,0.00011785,0.00011785,0.00011785
59,7549.32,0.63948,0.96482,1.11214,0.34887,0.36104,0.3033,0.24012,0.82635,1.49857,1.24218,0.0001129,0.0001129,0.0001129
60,7672.75,0.64368,0.96468,1.11537,0.36443,0.3256,0.29985,0.23884,0.82968,1.50056,1.24497,0.00010795,0.00010795,0.00010795
61,7798.04,0.64092,0.95483,1.1111,0.34467,0.35588,0.3075,0.24516,0.83265,1.48937,1.24453,0.000103,0.000103,0.000103
62,7920.66,0.63526,0.94455,1.11203,0.35018,0.36002,0.31009,0.24505,0.83365,1.49224,1.24539,9.805e-05,9.805e-05,9.805e-05
63,8046.73,0.63997,0.95055,1.11081,0.36984,0.35515,0.31343,0.24541,0.8376,1.49111,1.24594,9.31e-05,9.31e-05,9.31e-05
64,8169.91,0.64112,0.95091,1.11522,0.35874,0.34544,0.30696,0.24368,0.83537,1.50733,1.24751,8.815e-05,8.815e-05,8.815e-05
65,8294.57,0.63597,0.94752,1.11243,0.3638,0.34717,0.31202,0.24777,0.83548,1.47932,1.24889,8.32e-05,8.32e-05,8.32e-05
66,8417.94,0.63252,0.94342,1.11062,0.35672,0.35731,0.30801,0.24582,0.8292,1.49706,1.2449,7.825e-05,7.825e-05,7.825e-05
